province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,mean_velocity,median_velocity,std_velocity,long,lat,street_level,e_node_id,length,street_type
Bac Lieu,30,21,13,E,0.4,78,56,1009,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Bac Lieu,29,22,11,E,0.0,77,25,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503,106.7921493,10.8664739,4,5778117820,53.30434782608695,tertiary
Bac Lieu,29,23,9,ESE,16.0,81,70,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
Bac Lieu,35,27,12,S,0.0,60,8,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718,106.7921493,10.8664739,4,5778117820,40.89010989010989,tertiary
Bac Lieu,33,27,11,SSE,0.9,66,49,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541,106.7921493,10.8664739,4,5778117820,64.94594594594595,tertiary
Bac Lieu,33,28,12,SW,2.3,66,50,1008,2021-04-22,1.25,1.0,0.5,106.6966242,10.7712056,4,4608690975,38.0,tertiary
Bac Lieu,31,26,16,SW,7.2,80,57,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356,106.6562138,10.7706814,4,5044255782,34.74703134895503,tertiary
Bac Lieu,32,27,10,SW,0.9,77,40,1008,2020-09-11,19.55,8.0,19.782848912912186,106.8248737,10.7170573,3,1612118717,85.21,secondary
Bac Lieu,30,22,7,SW,0.0,78,24,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322,106.7778783,10.8757747,4,5762723856,56.54545454545455,tertiary
Bac Lieu,28,23,23,ENE,4.7,83,73,1010,2020-12-01,47.707692307692305,49.0,5.962704600585722,106.600179,10.8654501,1,1409379568,51.93846153846154,trunk
Bac Lieu,27,21,19,E,8.0,90,80,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749,106.6786972,10.8050949,2,5755399611,81.66666666666667,primary
Ho Chi Minh City,32,24,8,ESE,0.0,68,43,1010,2021-01-04,17.157894736842106,15.0,15.22128673893248,106.6688585,10.7414307,2,4200187547,43.73684210526316,primary
Ho Chi Minh City,32,23,8,SSE,0.0,67,8,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503,106.7921493,10.8664739,4,5778117820,53.30434782608695,tertiary
Ho Chi Minh City,25,18,5,SE,31.5,90,84,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255,106.6601997,10.7733429,4,4774007052,11.454545454545455,tertiary
Ho Chi Minh City,34,27,12,SSE,8.0,65,62,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541,106.7921493,10.8664739,4,5778117820,64.94594594594595,tertiary
Ho Chi Minh City,34,28,8,S,12.3,65,73,1008,2021-04-22,1.25,1.0,0.5,106.6966242,10.7712056,4,4608690975,38.0,tertiary
Ho Chi Minh City,37,27,13,SSE,0.0,56,10,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718,106.7921493,10.8664739,4,5778117820,40.89010989010989,tertiary
Ho Chi Minh City,29,26,14,SW,20.0,83,77,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356,106.6562138,10.7706814,4,5044255782,34.74703134895503,tertiary
Ho Chi Minh City,33,27,10,S,11.3,75,56,1007,2020-09-11,19.55,8.0,19.782848912912186,106.8248737,10.7170573,3,1612118717,85.21,secondary
Ho Chi Minh City,33,23,6,S,0.0,70,12,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322,106.7778783,10.8757747,4,5762723856,56.54545454545455,tertiary
