province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,mean_velocity,median_velocity,std_velocity
Hanoi,23,15,4,SE,0.0,61,5,1021,2020-12-06,44.54545454545455,47.0,10.985113894390322
Hanoi,24,17,7,SSE,0.0,53,49,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749
Soc Trang,30,21,13,E,0.4,78,56,1009,2021-01-04,17.157894736842106,15.0,15.22128673893248
Soc Trang,29,22,11,E,0.0,77,25,1010,2021-01-15,25.104347826086958,22.0,20.714167502377503
Soc Trang,29,23,9,ESE,16.0,81,70,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255
Soc Trang,35,27,12,S,0.0,60,8,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Soc Trang,33,27,11,SSE,0.9,66,49,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
Soc Trang,33,28,12,SW,2.3,66,50,1008,2021-04-22,1.25,1.0,0.5
Soc Trang,31,26,16,SW,7.2,80,57,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
Soc Trang,32,27,10,SW,0.9,77,40,1008,2020-09-11,19.55,8.0,19.782848912912186
Soc Trang,28,23,23,ENE,4.7,83,73,1010,2020-12-01,47.707692307692305,49.0,5.962704600585722
Soc Trang,30,22,7,SW,0.0,78,24,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322
Soc Trang,27,21,19,E,8.0,90,80,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749
