province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date,mean_velocity,median_velocity,std_velocity
My Tho,25,23,5,ESE,3.0,92,67,1010,2021-01-23,8.272727272727273,1.0,8.77600033148255
Cam Pha,21,15,8,NE,0.0,64,92,1017,2020-12-24,19.950819672131146,9.0,24.22955937014749
My Tho,39,26,9,SSE,0.0,59,13,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
My Tho,33,26,7,SSE,7.6,76,75,1010,2021-04-14,29.486486486486488,31.0,15.413957638779541
My Tho,35,27,6,SSW,0.9,69,58,1008,2021-04-22,1.25,1.0,0.5
My Tho,29,25,11,SW,5.1,88,71,1006,2020-08-03,19.96718651044965,20.0,11.491157496711356
My Tho,32,26,6,SSW,7.5,82,49,1007,2020-09-11,19.55,8.0,19.782848912912186
My Tho,29,24,8,ENE,4.2,85,63,1011,2020-12-01,47.707692307692305,49.0,5.962704600585722
My Tho,32,22,5,WSW,0.0,77,20,1011,2020-12-06,44.54545454545455,47.0,10.985113894390322
Tuy Hoa,24,18,21,NNE,19.4,92,95,1013,2021-01-04,17.157894736842106,15.0,15.22128673893248
My Tho,29,23,11,E,7.8,85,75,1008,2020-12-24,19.950819672131146,9.0,24.22955937014749
Tuy Hoa,23,17,11,SSW,0.1,85,65,1013,2021-01-15,25.104347826086958,22.0,20.714167502377503
Tuy Hoa,24,18,12,SSE,1.2,89,78,1012,2021-01-23,8.272727272727273,1.0,8.77600033148255
Tuy Hoa,32,22,12,S,0.0,74,13,1005,2021-03-31,22.32967032967033,21.0,19.805192890897718
Tuy Hoa,29,24,7,SSE,0.0,77,18,1011,2021-04-14,29.486486486486488,31.0,15.413957638779541
Tuy Hoa,31,25,8,S,4.2,80,59,1008,2021-04-22,1.25,1.0,0.5
Tuy Hoa,32,26,13,WSW,1.7,70,45,1005,2020-08-03,19.96718651044965,20.0,11.491157496711356
Tuy Hoa,32,25,12,S,3.0,79,47,1008,2020-09-11,19.55,8.0,19.782848912912186
Tuy Hoa,25,22,23,NE,37.4,89,83,1014,2020-12-01,47.707692307692305,49.0,5.962704600585722
